ticker,pe,roe,analyst_rating_raw
1333.T,10.2771845,0.08513,none
1376.T,12.5311985,0.05158,none
1375.T,50.0,0.1008,none
1301.T,8.849558,0.0,none
1332.T,15.699464,0.1066,buy
1377.T,15.848097,0.06309,buy
1379.T,11.025321,0.107080005,none
1380.T,44.64673,0.060229998,none
1382.T,0.0,-0.00958,none
1381.T,9.881473,0.10371,none
1383.T,111.111115,0.052800003,none
1401.T,19.342915,0.14659001,none
1384.T,8.431597,0.11241999,none
1407.T,13.495116,0.16728,strong_buy
1414.T,20.0,0.1387,none
1417.T,16.611265,0.08816,strong_buy
1419.T,48.545433,0.08319,sell
1418.T,7.948922,0.20125,none
1420.T,6.891526,0.0348,none
1429.T,11.925988,0.17089,none
1430.T,10.162254,0.13269,none
1431.T,66.22177,0.046090003,none
1433.T,19.961103,0.12053,none
1434.T,11.709798,0.18907,none
1435.T,9.259259,0.19448,none
1436.T,49.260483,0.08981,none
1443.T,8.018358,0.05262,none
1438.T,15.504074,0.11375,none
1444.T,0.0,-0.026889998,none
1446.T,25.378073,0.07326,none
1447.T,38.316723,0.1174,none
1450.T,8.877176,0.17764,none
1452.T,6.876818,0.0,none
1491.T,12.642208,0.15832,none
1514.T,16.695059,0.11983,none
1515.T,21.50529,0.07014,none
1518.T,6.7980294,0.18361999,none
1605.T,12.8042145,0.08457,hold
1662.T,7.2622237,0.084139995,none
1663.T,15.847657,0.088690005,none
1711.T,0.0,-0.069510005,none
1716.T,9.891339,0.08911,none
1717.T,12.29966,0.17406,none
1718.T,5.216484,0.0929,none
1719.T,11.947112,0.0,hold
1720.T,23.660713,0.11707,none
1723.T,20.367168,0.15873,none
1721.T,19.841476,0.08924,none
1724.T,14.085588,0.25195,none
1726.T,20.831684,0.080340005,none
1758.T,12.4072485,0.05039,none
1762.T,12.562647,0.07567,strong_buy
1736.T,10.320117,0.15039,none
1764.T,8.143405,0.0,none
1766.T,11.50748,0.120299995,strong_buy
1770.T,11.708794,0.06797,none
1768.T,10.373286,0.12292,none
1773.T,13.485114,0.13242,none
1776.T,68.028595,0.01777,none
1780.T,8.097341,0.10429,none
1786.T,13.605197,0.06336,none
1783.T,0.0,-0.03079,none
1787.T,15.313814,0.11076,none
1793.T,33.111782,0.03313,none
1788.T,9.794282,0.094849996,none
1795.T,10.559673,0.08607,none
1798.T,4.9456887,0.16181,none
1799.T,12.706318,0.060149997,none
1801.T,20.508865,0.0,buy
1802.T,16.207489,0.15325,buy
1803.T,20.0,0.11965,hold
1807.T,10.493364,0.052160002,none
1808.T,20.28439,0.10509,buy
1811.T,14.814815,0.04146,none
1810.T,11.363794,0.09219,none
1813.T,15.552099,0.10812,none
1814.T,12.658006,0.16188999,none
1812.T,17.698917,0.0,strong_buy
1820.T,12.8865185,0.0,buy
1815.T,16.393442,0.04005,none
1822.T,21.011145,0.06156,none
1826.T,22.27208,0.05806,none
1827.T,15.759687,0.07197,none
1828.T,9.380828,0.10528,none
1833.T,17.76199,0.029289998,none
1835.T,15.408196,0.10741,none
1840.T,0.0,-0.016590001,none
1844.T,20.488857,0.08935001,none
1847.T,7.6161885,0.0,none
1848.T,3.7118452,0.22325,none
1850.T,6.698297,0.11437,none
1852.T,13.567634,0.13019,none
1853.T,11.962963,0.17448,none
1860.T,14.513612,0.10925,buy
1861.T,19.803091,0.11468001,strong_buy
1866.T,11.312092,0.07033,none
1867.T,8.084126,0.08371,none
1870.T,8.810409,0.1532,none
1871.T,15.266328,0.15507,none
1873.T,59.85533,0.0,none
1878.T,13.020761,0.1974,hold
1879.T,8.481836,0.11416,none
1882.T,20.039362,0.06459,none
1885.T,15.600972,0.16404,none
1887.T,22.424019,0.03178,none
1888.T,11.848204,0.08552,none
1893.T,25.639755,0.18159,strong_buy
1897.T,29.58527,0.01263,none
1898.T,12.738905,0.101169996,none
1899.T,13.037771,0.06387,none
1904.T,15.220658,0.09157,none
1905.T,12.9704895,0.06764,none
1909.T,16.420074,0.17616,none
1911.T,8.312755,0.12991,none
1914.T,11.724137,0.0471,none
1921.T,34.248913,0.025840001,none
1925.T,10.141922,0.11734,none
1926.T,16.129032,0.13942,hold
1928.T,10.152214,0.11247,buy
1930.T,13.174237,0.07989,none
1929.T,15.874597,0.11303,none
1934.T,15.698729,0.09029,none
1938.T,13.054869,0.08975001,none
1939.T,18.518862,0.08168,none
1941.T,12.547004,0.07515,none
1942.T,25.316204,0.15217,none
1944.T,24.681866,0.1047,none
1945.T,15.897983,0.067379996,none
1946.T,13.123117,0.114750005,none
1948.T,20.01393,0.13052,none
1950.T,19.23149,0.090679996,none
1951.T,19.257462,0.1076,none
1952.T,14.77718,0.18035,none
1960.T,8.368049,0.06866,none
1959.T,22.421276,0.106359996,buy
1961.T,22.779238,0.1899,none
1964.T,8.960573,0.15656,none
1963.T,23.013136,0.082399994,none
1965.T,14.492754,0.20941,none
1966.T,8.741175,0.06403,none
1967.T,11.173213,0.120620005,none
1968.T,21.349245,0.09449001,none
1969.T,15.45612,0.22594999,none
1972.T,8.631184,0.12157,none
1976.T,12.488664,0.120699994,none
1975.T,14.184397,0.18327999,none
1979.T,17.857143,0.09989,buy
1980.T,15.151834,0.22097,none
1981.T,10.684049,0.0725,none
1982.T,22.2469,0.1104,none
1994.T,23.144653,0.01762,none
1992.T,16.862934,0.04221,none
1997.T,8.368285,0.1333,none
2001.T,12.106281,0.08039,none
2002.T,25.487877,0.053590003,none
2004.T,10.761068,0.07174,none
2003.T,19.608051,0.068969995,none
2009.T,22.834806,0.03121,none
2053.T,14.83637,0.07118,none
2055.T,22.881844,0.034649998,none
2060.T,8.733915,0.11071999,none
2109.T,20.324741,0.033570003,none
2108.T,0.0,-0.022839999,none
2112.T,5.6242733,0.14479,none
2114.T,11.947905,0.120340005,none
2117.T,16.69449,0.082159996,none
2120.T,10.195675,0.10467,none
2121.T,10.190803,0.10026,none
2122.T,38.318607,0.047080003,none
2124.T,16.584814,0.41544998,none
2127.T,16.637346,0.30945998,buy
2130.T,15.454948,0.16775,none
2134.T,0.0,-0.32606,none
2136.T,14.045584,0.12212,none
2138.T,26.903553,-0.039690003,none
2139.T,28.2489,0.09155,none
2146.T,20.50209,0.17708999,none
2148.T,22.320549,0.15279001,none
2152.T,16.412046,0.10626,none
2153.T,8.782435,0.09323,none
2154.T,11.96144,0.17187999,none
2156.T,17.92396,0.00721,none
2157.T,18.502943,0.16570999,none
2158.T,116.78623,0.14543,none
2162.T,0.0,-0.15869,none
2164.T,120.588234,-1.35309,none
2160.T,16.257206,-0.15619001,strong_buy
2163.T,15.4802885,0.25337,none
2168.T,40.20284,-0.034849998,none
2169.T,27.47269,0.051269997,none
2173.T,8.237501,0.45904,none
2170.T,40.48096,0.12942,none
2175.T,19.341703,0.15786,none
2179.T,9.217034,0.11934,none
2181.T,13.756492,0.19106,buy
2180.T,9.16187,0.31308,none
